~id,~label,first_name,last_name,email,phone,date_of_birth,region,country,risk_score,created_date,customer_id,account_type,balance,currency,status,opened_date,device_type,operating_system,fingerprint,ip_address_id,first_seen,merchant_name,category,location,latitude,longitude,risk_tier,registration_date,address,geo_location,is_vpn,is_tor,isp,account_id,merchant_id,amount,timestamp,channel
C0001,Customer,Nathan,Figueroa,donaldgarcia@example.net,+44(0)114 4960960,1956-08-17,Sydney,AU,0.722,2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002,Customer,Mandy,Hoffman,lquinn@example.com,08-5423-5116,1974-09-06,Melbourne,AU,0.221,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003,Customer,Jessica,Harvey,arnoldmaria@example.net,001-831-603-4131,1993-07-06,Sydney,AU,0.177,2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0004,Customer,Michael,Phillips,johnronald@example.net,01184960276,1993-10-21,Sydney,AU,0.745,2023-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005,Customer,Gabrielle,Perez,richard13@example.net,+441214960376,1981-06-23,Sydney,AU,0.168,2021-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006,Customer,John,Powell,zbartlett@example.com,08 1012 2691,1976-03-22,Singapore,SG,0.066,2022-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007,Customer,Tony,Taylor,maldonadoamanda@example.com,(0131) 496 0146,1981-02-16,Sydney,AU,0.228,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008,Customer,Antony,Walker,ruth89@example.org,(03)88095701,2006-11-06,Perth,AU,0.102,2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0009,Customer,John,May,wcabrera@example.net,08 8248 9638,1997-03-13,Brisbane,AU,0.842,2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0010,Customer,Wanda,Patel,ooneill@example.org,5983393010,1972-09-26,Brisbane,AU,0.254,2023-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0011,Customer,Joshua,Lewis,esanchez@example.com,16566701,1977-08-26,Sydney,AU,0.219,2021-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0012,Customer,John,Herrera,dwhite@example.org,+61.2.0801.3267,1964-10-18,Perth,AU,0.024,2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0013,Customer,Nicholas,Baker,rodney87@example.org,(03)-0980-5009,1984-06-21,Brisbane,AU,0.173,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0014,Customer,Susan,York,leonardjoe@example.org,(0118) 496 0990,1955-10-31,Sydney,AU,0.198,2023-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0015,Customer,Zoe,Donovan,john62@example.net,(0121) 4960751,1981-06-09,Melbourne,AU,0.843,2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
